scenario_id,rad_strategy,scenario_label,years_since_fire,data_status,canopy_cover_fraction,height_m,stem_density_per_ha,dominant_species_id,canopy_cover_fraction_no_followup_replant,height_m_no_followup_replant,canopy_cover_band_low_fraction,canopy_cover_band_high_fraction
passive,accept,Left alone (no intervention),0,measured,0,0,0,silbergras,,,0,0
passive,accept,Left alone (no intervention),3,measured,0.02,1.0,1000,drahtschmiele,,,0.02,0.07
passive,accept,Left alone (no intervention),6,modeled,0.06,2.6,1600,drahtschmiele,,,0.05,0.18
passive,accept,Left alone (no intervention),9,modeled,0.13,3.6,2100,sandbirke,,,0.09,0.31
passive,accept,Left alone (no intervention),12,modeled,0.2,4.6,2500,sandbirke,,,0.13,0.42
passive,accept,Left alone (no intervention),15,modeled,0.26,5.8,2700,sandbirke,,,0.16,0.52
passive,accept,Left alone (no intervention),18,modeled,0.32,6.9,2800,sandbirke,,,0.2,0.61
passive,accept,Left alone (no intervention),21,modeled,0.37,7.9,2800,sandbirke,,,0.22,0.67
passive,accept,Left alone (no intervention),24,modeled,0.4,8.2,2700,sandbirke,,,0.25,0.72
passive,accept,Left alone (no intervention),27,modeled,0.43,8.8,2600,sandbirke,,,0.26,0.75
passive,accept,Left alone (no intervention),30,modeled,0.46,9.3,2500,sandbirke,,,0.29,0.78
pine,resist,Replant pine (return to prior state),0,measured,0,0,0,waldkiefer,0,0,,
pine,resist,Replant pine (return to prior state),3,measured,0.01,0.25,3000,waldkiefer,0.006,0.2,,
pine,resist,Replant pine (return to prior state),6,modeled,0.02,0.5,1300,waldkiefer,0.012,0.35,,
pine,resist,Replant pine (return to prior state),9,modeled,0.08,1.0,6500,waldkiefer,0.025,0.6,,
pine,resist,Replant pine (return to prior state),12,modeled,0.2,1.8,6200,waldkiefer,0.06,1.0,,
pine,resist,Replant pine (return to prior state),15,modeled,0.42,2.6,5900,waldkiefer,0.1,1.5,,
pine,resist,Replant pine (return to prior state),18,modeled,0.63,3.45,5600,waldkiefer,0.15,2.1,,
pine,resist,Replant pine (return to prior state),21,modeled,0.79,4.25,5400,waldkiefer,0.21,2.7,,
pine,resist,Replant pine (return to prior state),24,modeled,0.84,4.75,5200,waldkiefer,0.28,3.2,,
pine,resist,Replant pine (return to prior state),27,modeled,0.88,5.6,5000,waldkiefer,0.33,3.6,,
pine,resist,Replant pine (return to prior state),30,modeled,0.92,6.5,4800,waldkiefer,0.385,4.0,,
assisted,direct,Assisted pioneer mix (steer toward new target),0,measured,0,0,0,besenheide,,,,
assisted,direct,Assisted pioneer mix (steer toward new target),3,measured,0.05,1.2,8000,zitterpappel,,,,
assisted,direct,Assisted pioneer mix (steer toward new target),6,modeled,0.15,3.0,9000,zitterpappel,,,,
assisted,direct,Assisted pioneer mix (steer toward new target),9,modeled,0.28,4.2,8500,sandbirke,,,,
assisted,direct,Assisted pioneer mix (steer toward new target),12,modeled,0.42,5.4,7800,sandbirke,,,,
assisted,direct,Assisted pioneer mix (steer toward new target),15,modeled,0.51,6.4,7200,traubeneiche,,,,
assisted,direct,Assisted pioneer mix (steer toward new target),18,modeled,0.6,7.4,6700,traubeneiche,,,,
assisted,direct,Assisted pioneer mix (steer toward new target),21,modeled,0.67,8.3,6300,traubeneiche,,,,
assisted,direct,Assisted pioneer mix (steer toward new target),24,modeled,0.69,8.9,5900,traubeneiche,,,,
assisted,direct,Assisted pioneer mix (steer toward new target),27,modeled,0.72,9.9,5600,traubeneiche,,,,
assisted,direct,Assisted pioneer mix (steer toward new target),30,modeled,0.75,11.0,5300,traubeneiche,,,,
